ID,N,Meff,hasPDB,hasModel,FDR
PF00558.16,80,200.57685188545787,1,1,0.2278075
PF00559.14,173,136.09999988198174,1,1,0.581374
PF00560.30,27,1246.9395597769837,0,0,
PF00561.17,372,2837.850461816382,0,1,0.4859538
PF00562.25,421,245.72118467296593,0,1,0.5720868
PF00563.17,231,8388.96712213199,1,1,0.04347826
PF00564.21,80,227.8928835109615,1,1,0.3905497
PF00565.14,103,875.7563356602558,1,1,0.05037313
PF00566.15,193,876.8921136260354,1,1,0.1973929
PF00567.21,122,1001.3917634710646,1,1,0.2493857
PF00568.20,101,126.5385224596916,1,1,0.3839907
PF00569.14,37,999.2702681385599,1,0,
PF00570.20,66,834.3183407359913,1,1,0.05100182
PF00571.25,54,10871.812911844743,1,1,0.08928571
PF00572.15,125,915.348860970707,1,1,0.08820882
PF00573.19,187,905.6799401803441,1,1,0.1961446
PF00574.20,179,786.497144715366,1,1,0.2632822
PF00575.20,71,2990.613721836268,1,1,0.06320225
PF00576.18,105,621.3770705083176,1,1,0.2732136
PF00577.17,566,3339.214304360822,1,1,0.2497946
PF00578.18,124,1908.6640073934361,1,1,0.05357143
PF00579.22,287,785.4139592898894,1,1,0.3170566
PF00580.18,243,2442.5781914845174,1,1,0.09396552
PF00581.17,87,2532.5033180146356,1,1,0.06024096
PF00582.23,134,5616.8589152417035,1,1,0.03846154
PF00583.22,78,2667.73784176037,1,1,0.05145798
PF00584.17,54,670.2822258819177,1,1,0.2032277
PF00585.15,89,418.0367219967798,1,0,
PF00586.21,109,597.4525086892033,1,1,0.4106609
PF00587.22,171,228.32365005945945,1,1,0.5328145
PF00588.16,141,713.7191507367802,1,1,0.05737705
PF00589.19,161,3448.398111393776,1,1,0.04744526
PF00590.17,208,527.6692942710416,1,1,0.08859566
PF00591.18,252,600.6534414342111,1,1,0.05319149
PF00593.21,200,4109.166138017937,1,1,0.2148148
PF00594.17,41,211.09093239701005,1,0,
PF00595.21,70,5494.225380729396,1,1,0.0718232
PF00596.18,170,512.8227856126498,1,1,0.05347594
PF00598.16,156,18.582776519125986,1,1,0.6054983
PF00599.14,97,25.874679655040413,0,0,
PF00600.16,212,29.987842782496724,1,1,0.6041056
PF00601.16,93,3.1294121712034233,0,1,0.5183638
PF00602.14,741,62.08185757703526,1,0,
PF00603.14,690,31.264780209928965,1,0,
PF00604.14,757,26.075842197740887,1,0,
PF00605.14,99,140.07682798646493,1,1,0.4627592
PF00606.15,610,56.56062215897514,1,0,
PF00607.17,199,186.42586348995945,1,1,0.6142439
PF00608.14,30,78.62630850688308,1,0,
PF00609.16,134,1014.3959471118524,1,1,0.1117779
PF00610.18,70,409.1354522329822,1,1,0.2643893
PF00611.20,71,317.6788062929124,1,1,0.1473595
PF00612.24,19,505.2152001819323,1,0,
PF00613.17,178,205.96120396778198,1,1,0.5016336
PF00614.19,27,160.20017945368377,0,0,
PF00615.16,116,942.1561509115213,1,1,0.09226714
PF00616.16,203,325.25821881540924,1,1,0.4351169
PF00617.16,175,596.3041873741217,1,1,0.3403325
PF00618.17,104,509.58081894042454,1,1,0.2900731
PF00619.18,82,504.44910972511593,1,1,0.1339779
PF00620.24,145,1159.5046662676432,1,1,0.1074766
PF00621.17,178,1397.7230370481825,1,1,0.1114458
PF00622.25,111,654.9267831205938,1,1,0.2422102
PF00623.17,165,728.771013535348,1,1,0.496497
PF00624.15,41,141.20358808566056,0,0,
PF00625.18,184,3411.9791777364762,1,0,
PF00626.19,69,443.840652541618,1,1,0.05614568
PF00627.28,36,1429.4977851231558,1,0,
PF00628.26,44,1733.7729579937006,1,0,
PF00629.20,150,714.801282909651,1,1,0.1876581
PF00630.16,89,769.7035776214034,1,1,0.0627451
PF00631.19,63,164.4952777400921,1,1,0.2589413
PF00632.22,300,661.8656699138645,1,0,
PF00633.20,30,2644.240761809268,1,0,
PF00634.15,31,220.9418493492336,1,0,
PF00635.23,104,569.60782475116,1,1,0.270166
PF00636.23,86,1415.3525466217245,1,1,0.3437273
PF00637.17,130,700.6144991692473,1,1,0.4607229
PF00638.15,121,339.8361530639911,1,1,0.1338216
PF00639.18,94,2328.1794827289373,1,1,0.05615551
PF00640.20,120,264.06901638817334,1,1,0.1425091
PF00641.15,29,1993.1801180307868,1,0,
PF00642.21,24,2782.31643450906,1,0,
PF00643.21,39,1165.7171886547055,1,0,
PF00644.17,211,550.8146571438022,1,1,0.4355224
PF00645.15,78,401.5073895063846,1,1,0.1891892
PF00646.30,45,3684.314510853797,1,0,
PF00647.16,106,120.31654781432837,1,1,0.5026443
PF00648.18,296,548.3090984041602,1,1,0.4911534
PF00649.15,38,138.14772292703185,1,0,
PF00650.17,144,1081.2560480761556,1,1,0.08834244
PF00651.28,103,2962.4217331484892,1,1,0.06299213
PF00652.19,114,1258.5310773928531,1,1,0.3033628
PF00653.18,66,699.0306499671842,1,1,0.1212121
PF00654.17,338,554.36119197898,1,1,0.1313025
PF00656.19,222,738.7872828224437,1,1,0.1698842
PF00657.19,302,6414.549450989117,1,1,0.4667921
PF00658.15,67,321.27169386111837,1,1,0.1991369
PF00659.15,61,220.7636259375677,1,1,0.1294915
PF00660.14,100,129.38131680038626,0,1,0.3330341
PF00661.18,343,40.88050568815139,1,1,0.5442534
PF00662.17,56,1556.401094108622,1,1,0.4612613
PF00664.20,264,12379.10900962164,1,1,0.3991269
PF00665.23,108,3269.381065007668,1,1,0.0530504
PF00666.14,98,277.2804936721738,1,1,0.09729272
PF00667.17,214,471.3937110368373,1,1,0.4785408
PF00668.17,286,5302.561775858379,1,1,0.3344188
PF00669.17,133,1068.0690083095926,1,1,0.3819672
PF00670.18,161,2476.3694389760053,1,0,
PF00672.22,57,5982.23741507663,1,1,0.1473595
PF00673.18,94,768.1728132395727,1,1,0.3103448
PF00674.15,95,153.19938367270296,0,1,0.434863
PF00675.17,148,1619.7753191266163,1,0,
PF00676.17,282,1340.2860556906496,1,0,
PF00677.14,84,2275.8146755093917,1,1,0.1473595
PF00679.21,87,1155.0647742707865,1,1,0.1697905
PF00680.17,430,300.90143731897894,1,1,0.6130223
PF00681.17,40,234.58694806862383,1,0,
PF00682.16,258,310.16388624864845,1,1,0.06477733
PF00683.14,48,189.05309736157892,0,0,
PF00684.16,59,2599.384675105991,1,1,0.2118959
PF00685.24,243,2106.621468437222,1,1,0.2819333
PF00686.16,90,582.4418359423773,1,1,0.3008217
PF00687.18,189,837.0275118991365,1,1,0.3441579
PF00688.15,189,322.7214647799688,1,1,0.5694606
PF00689.18,183,603.2714667595071,1,1,0.3313298
PF00690.23,66,920.6709015435232,1,1,0.3851154
PF00691.17,91,2919.1983499921885,1,1,0.05454545
PF00692.16,127,715.4894141657333,1,1,0.2710345
PF00693.15,276,2104.534793550905,1,1,0.6019857
PF00694.16,125,534.5530782018917,1,1,0.4239502
PF00695.16,366,20.24313808925251,0,1,0.6089025
PF00696.25,270,1257.9522175472878,1,1,0.1393862
PF00697.19,184,1223.3196112626272,1,1,0.04504505
PF00698.18,315,2311.2752375761306,1,1,0.04615385
PF00699.17,98,650.4661539910966,1,1,0.2583893
PF00700.18,84,770.46928512647,1,1,0.4612613
PF00701.19,287,1144.7086524547672,1,0,
PF00702.23,177,13342.314036739088,0,1,0.3087622
PF00703.18,100,1726.448504988866,1,1,0.133557
PF00704.25,327,924.0094827357226,1,0,
PF00705.15,118,544.2575331905381,1,1,0.325412
PF00706.14,43,24.394404508111595,1,0,
PF00707.19,85,1018.6223091130972,1,1,0.07769929
PF00708.15,88,1878.3920309785972,1,1,0.03333333
PF00709.18,414,981.7662846863053,1,0,
PF00710.17,185,760.1951883619022,1,1,0.05785124
PF00711.16,36,112.90040651012724,1,0,
PF00712.16,118,1971.802665420263,1,1,0.05172414
PF00713.14,64,7.439658582731337,1,1,0.2315369
PF00714.14,129,43.82912263446891,1,1,0.3296501
PF00715.14,127,22.983200390746354,1,1,0.5434871
PF00716.14,384,36.61805873864699,0,1,0.5976218
PF00717.20,81,2319.015941226806,1,1,0.2330905
PF00718.17,293,63.64637809203909,1,1,0.5475069
PF00719.16,153,521.1407861468169,1,1,0.1318373
PF00720.14,87,140.41858488619928,1,1,0.3779806
PF00721.18,120,33.44561153561917,1,1,0.5490589
PF00722.18,179,744.3464990129648,1,1,0.2855338
PF00723.18,913,297.6599352110416,0,1,0.6375849
PF00724.17,325,990.9241291697214,1,1,0.05190311
PF00725.19,93,668.5842861392218,1,1,0.05555556
PF00726.14,154,57.39605198436028,1,1,0.4289316
PF00727.15,111,29.3272994490791,1,1,0.4994944
PF00728.19,348,344.9924209979739,1,1,0.1674041
PF00729.15,190,95.81818593718879,1,1,0.5903004
PF00730.22,133,609.4986674147794,1,1,0.1991369
PF00731.17,150,787.1226254583543,1,1,0.08234127
PF00732.16,292,4856.194238703984,1,1,0.3484979
PF00733.18,374,4514.4616105540135,0,1,0.3819242
PF00734.15,29,734.2024796101858,0,0,
PF00735.15,269,1303.576532453461,1,1,0.586422
PF00736.16,85,257.76379437000253,1,1,0.1317427
PF00737.17,52,56.60530619263643,1,1,0.2506579
PF00738.15,232,16.637609430466302,1,1,0.6013962
PF00739.16,142,19.937317573774095,0,1,0.4627558
PF00740.15,524,46.85292214764436,1,1,0.601257
PF00741.15,39,90.12780291684366,0,0,
PF00742.16,173,637.9850748759641,1,1,0.08758422
PF00743.16,401,3816.0118509735685,1,1,0.5418782
PF00745.17,80,630.5103094319626,1,1,0.2992487
PF00746.18,35,876.4811447969851,1,0,
PF00747.14,1132,33.84011904761904,0,0,
PF00748.16,125,59.834015733822525,0,1,0.5318409
PF00749.18,311,800.2087704306335,1,1,0.1530312
PF00750.16,341,808.7050706837814,1,1,0.4098093
PF00751.15,47,186.42843692537184,1,0,
PF00752.14,95,412.7479386774377,1,1,0.3627316
PF00753.24,209,2434.7309156775277,1,1,0.1173063
PF00754.22,89,596.4410481055645,1,1,0.2147712
PF00755.17,543,303.1523122766405,1,0,
PF00756.17,209,1894.686599038293,1,1,0.05373134
PF00757.17,145,1286.5072586525398,1,1,0.2462356
PF00758.15,162,30.29236347389611,1,1,0.4164745
PF00759.16,416,327.31706676362086,1,1,0.2131148
PF00760.15,205,14.67009873441345,1,1,0.5592711
PF00761.17,338,61.82187469144117,0,0,
PF00762.16,307,329.4513988454937,1,1,0.1898327
PF00763.20,117,1844.533451074649,1,1,0.05052265
PF00764.16,386,181.88027135036137,1,1,0.3776695
PF00765.14,178,786.8274105304453,1,1,0.1583189
PF00766.16,82,1000.3996472384532,1,1,0.1660123
PF00767.15,243,133.65108162464534,0,1,0.6036005
PF00768.17,222,719.529139210768,1,1,0.04743083
PF00769.16,245,82.50355160931643,1,0,
PF00770.15,180,44.778735445807925,1,1,0.5082451
PF00771.17,654,416.15729802221546,0,1,0.6350204
PF00772.18,97,1261.6686945932618,1,1,0.1294964
PF00773.16,326,962.8621739314431,1,1,0.2268398
PF00775.18,177,408.642542288003,1,1,0.1641286
PF00777.15,254,399.96043586010717,1,1,0.5918188
PF00778.14,80,117.47496752097724,1,1,0.3412409
PF00779.16,30,140.66356657972554,1,0,
PF00780.19,283,85837.17976516476,0,1,0.3915363
PF00781.21,122,2139.3955707954274,1,1,0.03508772
PF00782.17,128,1182.259863253242,1,1,0.05882353
PF00784.14,98,286.5080159959602,1,1,0.2171429
PF00786.25,58,280.18867079283484,1,1,0.3547486
PF00787.21,108,985.8578364762776,1,1,0.1958614
PF00788.20,102,193.79120257192156,1,1,0.4870115
PF00789.17,78,604.2919493292977,1,1,0.1086287
PF00790.16,133,275.40340308088037,1,1,0.09837398
PF00791.17,87,220.00102150289283,1,1,0.3076506
PF00792.21,129,308.86449848506874,1,1,0.4881576
PF00793.17,313,233.65694701401958,1,1,0.2551225
PF00794.15,98,167.73069188674398,1,1,0.4327245
PF00795.19,227,1229.0644661696188,1,1,0.04746835
PF00796.15,24,111.99225008743942,0,0,
PF00797.14,218,406.39330325074724,1,1,0.234474
PF00798.15,486,19.487817450007853,0,1,0.6307839
PF00799.17,112,393.10547386668105,1,1,0.2828849
PF00800.15,175,962.8044632911045,1,1,0.0630137
PF00801.17,62,2599.7405508307215,1,1,0.2760898
PF00802.16,260,21.38227081099858,0,1,0.5791353
PF00803.15,230,19.889055673037888,0,1,0.5357143
PF00804.22,191,444.03069978627735,1,1,0.5434871
PF00805.19,40,1804.5706788195341,0,0,
PF00806.16,33,394.02853042807556,1,0,
PF00807.14,27,9.000255540812812,0,0,
PF00808.20,65,453.9180836481468,1,1,0.2814159
PF00809.19,238,660.1953156792175,1,1,0.05921053
PF00810.15,142,226.93075722225834,0,1,0.4948381
PF00811.15,126,192.63099783419992,0,1,0.3331771
PF00812.14,133,102.21486322063544,1,1,0.4386431
PF00813.17,193,475.97720459189514,0,1,0.5303352
PF00814.22,269,823.0132706610983,1,1,0.1968391
PF00815.17,404,863.6556230275878,1,0,
PF00816.18,84,296.74229235515156,0,1,0.3851154
PF00817.17,143,428.3001568652384,1,1,0.2394079
PF00818.14,15,50.575292478714076,0,0,
PF00819.14,42,52.562109705542,1,0,
PF00820.16,247,21.885776227064156,1,1,0.390104
PF00821.15,580,497.3130527024755,1,0,
PF00822.17,144,314.3425101407886,1,1,0.5474849
PF00823.16,153,370.9156370882321,1,1,0.5394628
PF00825.15,106,982.0228093612936,1,1,0.04545455
PF00827.14,187,232.2347627263714,1,1,0.5218568
PF00828.16,117,735.2280094623753,1,1,0.3169492
PF00829.18,93,939.5533360777741,1,1,0.09703947
PF00830.16,60,541.5105533708926,1,1,0.2143727
PF00831.20,57,1243.5911603972813,1,1,0.1119691
PF00832.17,42,157.8197351008984,1,0,
PF00833.15,115,137.42237384527553,1,1,0.579925
PF00834.16,196,1063.843697727435,1,1,0.05154639
PF00835.16,55,72.44183016363712,0,1,0.3276146
PF00836.16,132,107.55941655588019,1,0,
PF00837.14,259,4984.194377377251,0,0,
PF00838.14,163,156.90501879214517,1,1,0.3277439
PF00839.14,63,424.55046032765085,0,1,0.3036885
PF00840.17,434,501.56853977999094,1,0,
PF00841.16,88,997.4392367206221,0,1,0.4043641
PF00842.18,127,1392.0484579344118,1,1,0.05689278
PF00843.14,529,21.34704581182181,1,0,
PF00844.15,244,49.98459655451872,0,1,0.5544956
PF00845.16,280,27.71617638503958,0,1,0.5531785
PF00846.15,429,5145.648656808635,0,1,0.6270288
PF00847.17,47,1896.318269489196,1,0,
PF00848.16,186,492.9768425252429,1,0,
PF00849.19,149,1540.9194506206152,1,0,
PF00850.16,278,525.3483356379821,1,0,
PF00851.15,442,98.57680312305986,0,1,0.6191024
PF00852.16,136,467.9084245568115,1,0,
PF00853.16,129,3760.6090364429433,1,0,
PF00854.18,329,1963.8630802677774,1,0,
PF00855.14,58,329.5573003215114,1,0,
PF00856.25,97,1512.538694212043,1,0,
PF00857.17,156,833.3752803950157,1,0,
PF00858.21,427,420.83296728901723,1,0,
PF00859.15,288,59.02216567032728,0,1,0.4840345
PF00860.17,316,517.5129634521762,1,0,
PF00861.19,115,716.1412850358997,1,0,
PF00862.16,543,872.9553811911074,1,0,
PF00863.16,211,574.7919204748775,1,0,
PF00864.16,315,140.56753288563314,1,0,
PF00865.15,298,12809.27927161139,0,1,0.5455305
PF00866.15,135,662.9659115618625,1,0,
PF00867.15,87,884.8722869276778,1,0,
PF00868.17,102,171.34678946172681,1,0,
PF00869.17,295,78.18381899509892,1,0,
PF00870.15,195,128.45126419144,1,0,
PF00871.14,382,1957.5324040160199,1,0,
PF00872.15,371,7624.832389925514,0,1,0.5926934
PF00873.16,1027,6815.19826798831,0,1,0.5123562
PF00874.17,86,2072.450890460393,1,0,
PF00875.15,152,354.0556090333634,1,0,
PF00876.15,360,284.18258471515713,0,1,0.5480238
PF00877.16,101,1233.9930790379237,1,0,
PF00878.15,134,426.27596696240965,1,0,
PF00879.15,48,49.793061368971436,0,0,
PF00880.15,29,142.7571077681406,0,0,
PF00881.21,145,1713.4471815731824,1,1,0.04453441
PF00882.15,119,108.54571091107574,1,0,
PF00883.18,302,1073.2724951458008,1,0,
PF00884.20,325,1048.2399470121738,1,0,
PF00885.16,140,302.83263697649573,1,0,
PF00886.16,59,839.2874932603294,1,1,0.1637337
PF00887.16,81,425.03189849105263,1,1,0.1745014
PF00888.19,543,334.1719445188632,1,1,0.6269027
PF00889.16,190,628.5630715648329,1,0,
PF00890.21,389,1457.5738231830526,1,1,0.413272
PF00891.15,220,4601.08610753256,1,1,0.2656006
PF00892.17,137,19652.787878098963,0,1,0.4352876
PF00893.16,92,786.3447965257278,1,1,0.2978992
PF00894.15,118,59.2975819695524,1,1,0.4720206
PF00895.17,54,677.9725581079409,0,1,0.2700596
PF00897.14,348,37.976553239918175,1,1,0.5856463
PF00898.14,936,30.436635525404018,1,0,
PF00899.18,261,3103.7566664990445,1,1,0.3108201
PF00900.17,75,310.2536726404497,1,1,0.3845018
PF00901.14,507,44.19650476819183,1,0,
PF00902.15,208,719.6365854385731,1,1,0.5615935
PF00903.22,116,8205.175474745512,1,1,0.07288317
PF00904.14,10,1.0,0,0,
PF00905.19,215,968.0977106599852,1,1,0.0516934
PF00906.17,259,10.542906440535177,0,1,0.5899202
PF00907.19,176,333.25413650960496,1,1,0.4530324
PF00908.14,170,697.143825081307,1,1,0.1057616
PF00909.18,368,603.4135264022856,1,0,
PF00910.19,94,1004.90284658902,1,1,0.4031051
PF00912.19,175,1771.2293128763686,1,0,
PF00913.16,340,527.6964157616587,1,0,
PF00915.17,275,305.724488422523,1,0,
PF00916.17,339,576.8123096780075,1,0,
PF00917.23,108,1006.4236631806681,1,0,
PF00918.14,120,1005.5132461707374,0,1,0.4224599
PF00919.17,99,663.5672442979247,1,1,0.04615385
PF00920.18,523,351.68954123825847,1,0,
PF00921.14,167,335.8231929285621,1,0,
PF00922.14,257,12.530194805194798,0,1,0.5902174
PF00923.16,295,548.3260332207843,1,0,
PF00924.15,197,1189.9326427814165,1,0,
PF00925.17,167,725.7763394497193,1,0,
PF00926.16,191,1012.8960389060968,1,0,
PF00927.19,96,240.63902819779472,1,0,
PF00928.18,254,265.61571932628124,1,0,
PF00929.21,157,1880.1132527662571,1,0,
PF00930.18,317,3106.950891540433,1,0,
PF00931.19,267,5662.357680487048,1,0,
PF00932.16,93,615.8416465480024,1,0,
PF00933.18,305,1013.7046017811675,1,0,
PF00934.17,93,635.0890016337764,1,0,
PF00935.16,76,173.9262815685615,1,1,0.4134647
PF00936.16,76,350.06216781790283,1,0,
PF00937.15,364,18052.382025225575,0,1,0.4265112
PF00938.14,85,56.2819896266178,0,1,0.440303
PF00939.16,416,723.9685212492623,1,0,
PF00940.16,530,284.9696403696896,0,1,0.5915342
PF00941.18,159,1189.4022047569435,1,0,
PF00942.15,82,182.45345523065018,1,0,
PF00943.16,407,27.367204708356027,1,0,
PF00944.16,156,2721.4835269866776,1,1,0.2852625
PF00945.15,395,145.60767336076512,1,0,
PF00946.16,1104,102.30114263522813,0,1,0.6376968
PF00947.16,126,76.7522104739144,1,0,
PF00948.18,350,70.5930323590474,1,0,
PF00949.18,123,1134.975474056175,1,1,0.3002257
PF00950.14,247,1142.6142767309286,1,1,0.1975
PF00951.15,173,28.6585552681451,0,1,0.5592711
PF00952.14,229,40.935009435009455,1,1,0.5556998
PF00953.18,158,1686.4543533239046,1,1,0.3193636
PF00954.17,108,522.1651255187888,0,1,0.2669522
PF00955.18,460,401.56226603511055,1,1,0.5617428
PF00956.15,262,296.1791878005928,1,1,0.5965308
PF00957.18,87,554.5365140369847,1,1,0.1418312
PF00958.19,91,624.4492391061741,1,1,0.2068487
PF00959.16,108,642.6259863618391,1,1,0.1268012
PF00960.15,106,1083.3078915481926,1,1,0.2491259
PF00961.16,91,617.9688365087374,1,1,0.05244123
PF00962.19,407,466.3777567949548,1,1,0.6077696
PF00963.15,130,2137.527040755456,1,1,0.1053472
PF00964.14,83,114.63117124325532,1,1,0.454018
PF00965.14,177,356.86607877570304,1,1,0.4548514
PF00967.14,119,1471.1424842396077,1,1,0.3446303
PF00969.16,72,664.9678466273227,1,1,0.22397
PF00970.21,89,1804.8087082477086,1,1,0.05555556
PF00971.15,377,12.384880348547652,0,1,0.5447308
PF00972.17,634,70.02194189124013,1,1,0.6225403
PF00973.16,410,33.63474020003397,1,1,0.6096068
PF00974.15,396,119.02917612865302,1,1,0.5560049
PF00975.17,215,3754.632690231285,1,1,0.1184494
PF00976.15,19,95.11533416341443,0,0,
PF00977.18,227,720.6980886374845,1,1,0.04651163
PF00978.18,440,126.56598584135583,0,1,0.6270288
PF00979.14,316,169.98703718338808,1,1,0.3364908
PF00980.14,396,17.347551346488636,1,1,0.6207516
PF00981.14,486,35.009695510545335,0,1,0.6260673
PF00982.18,444,7138.854311346975,1,1,0.4752088
PF00983.15,170,30.461179515758648,1,1,0.5439256
PF00984.16,89,571.6723371718332,1,1,0.1502075
PF00985.14,160,9.965513608108859,0,1,0.414523
PF00986.18,62,1096.1395081443413,1,1,0.3358016
PF00988.19,129,1015.5367240566495,1,1,0.05640244
PF00989.22,105,53243.20863535833,1,1,0.06958474
PF00990.18,153,36563.29543156923,1,1,0.05555556
PF00992.17,131,67.18440317367758,1,1,0.5465375
PF00993.17,76,117.2744893722777,1,1,0.3748747
PF00994.21,137,758.3405368367264,1,1,0.05813953
PF00995.20,552,338.79286829361297,1,1,0.5967711
PF00996.15,430,3551.6244267386824,1,0,
PF00997.15,166,46.33883893883895,0,1,0.4943561
PF00998.20,461,1130.5541362925694,1,1,0.606372
PF00999.18,387,990.8248770375372,1,1,0.5154889
